00:00–05:00 | 0 words
05:00–10:00 | 0 words
10:00–15:00 | 0 words
15:00–20:00 | 0 words
20:00–25:00 | 0 words
25:00–30:00 | 0 words
30:00–35:00 | 0 words
35:00–40:00 | 0 words
40:00–45:00 | 0 words
45:00–50:00 | 0 words
50:00–55:00 | 461 words
55:00–1:00:00 | 765 words
1:00:00–1:05:00 | 689 words
1:05:00–1:10:00 | 854 words
1:10:00–1:15:00 | 657 words
1:15:00–1:20:00 | 831 words
1:20:00–1:25:00 | 667 words
1:25:00–1:30:00 | 738 words
1:30:00–1:35:00 | 681 words
1:35:00–1:40:00 | 775 words
1:40:00–1:45:00 | 699 words
1:45:00–1:50:00 | 549 words
1:50:00–1:55:00 | 612 words
1:55:00–2:00:00 | 373 words
2:00:00–2:05:00 | 240 words
2:05:00–2:07:28 | 149 words
