00:00–05:00 | 47 words
05:00–10:00 | 314 words
10:00–15:00 | 238 words
15:00–20:00 | 315 words
20:00–25:00 | 312 words
25:00–30:00 | 326 words
30:00–35:00 | 354 words
35:00–40:00 | 280 words
40:00–45:00 | 232 words
45:00–50:00 | 362 words
50:00–55:00 | 359 words
55:00–1:00:00 | 777 words
1:00:00–1:05:00 | 722 words
1:05:00–1:10:00 | 554 words
1:10:00–1:15:00 | 634 words
1:15:00–1:20:00 | 669 words
1:20:00–1:25:00 | 702 words
1:25:00–1:30:00 | 662 words
1:30:00–1:35:00 | 630 words
1:35:00–1:40:00 | 667 words
1:40:00–1:45:00 | 602 words
1:45:00–1:50:00 | 790 words
1:50:00–1:55:00 | 684 words
1:55:00–2:00:00 | 421 words
2:00:00–2:00:38 | 0 words
