00:00–05:00 | 34 words
05:00–10:00 | 483 words
10:00–15:00 | 505 words
15:00–20:00 | 360 words
20:00–25:00 | 275 words
25:00–30:00 | 735 words
30:00–35:00 | 943 words
35:00–40:00 | 940 words
40:00–45:00 | 951 words
45:00–50:00 | 907 words
50:00–55:00 | 848 words
55:00–1:00:00 | 763 words
1:00:00–1:05:00 | 792 words
1:05:00–1:10:00 | 751 words
1:10:00–1:15:00 | 806 words
1:15:00–1:20:00 | 797 words
1:20:00–1:25:00 | 785 words
1:25:00–1:30:00 | 478 words
1:30:00–1:35:00 | 478 words
1:35:00–1:40:00 | 671 words
1:40:00–1:43:14 | 197 words
