00:00–05:00 | 83 words
05:00–10:00 | 525 words
10:00–15:00 | 487 words
15:00–20:00 | 485 words
20:00–25:00 | 351 words
25:00–30:00 | 390 words
30:00–35:00 | 966 words
35:00–40:00 | 846 words
40:00–45:00 | 903 words
45:00–50:00 | 896 words
50:00–55:00 | 855 words
55:00–1:00:00 | 855 words
1:00:00–1:05:00 | 715 words
1:05:00–1:10:00 | 806 words
1:10:00–1:15:00 | 631 words
1:15:00–1:20:00 | 776 words
1:20:00–1:25:00 | 688 words
1:25:00–1:30:00 | 676 words
1:30:00–1:35:00 | 700 words
1:35:00–1:40:00 | 788 words
1:40:00–1:45:00 | 649 words
1:45:00–1:46:37 | 149 words
