00:00–05:00 | 48 words
05:00–10:00 | 376 words
10:00–15:00 | 343 words
15:00–20:00 | 348 words
20:00–25:00 | 260 words
25:00–30:00 | 507 words
30:00–35:00 | 906 words
35:00–40:00 | 1005 words
40:00–45:00 | 992 words
45:00–50:00 | 748 words
50:00–55:00 | 890 words
55:00–1:00:00 | 937 words
1:00:00–1:05:00 | 876 words
1:05:00–1:10:00 | 891 words
1:10:00–1:15:00 | 778 words
1:15:00–1:20:00 | 835 words
1:20:00–1:25:00 | 762 words
1:25:00–1:30:00 | 849 words
1:30:00–1:35:00 | 875 words
1:35:00–1:40:00 | 848 words
1:40:00–1:41:03 | 177 words
