00:55:28 | 20260721 | Kg6PPr-MGic | The Gift Of Prophecy | The Gathering | Tyler Everett
00:36:29 | 20260714 | Z9rojVwaRTA | The Gift Of Knowledge | The Gathering | Tyler Everett
01:00:55 | 20260713 | SgAXJG-XKwo | Peter Perez | Sunday School | 11
00:37:19 | 20260711 | -CIFBhpMnfo | The God Who Pursues | The Gathering | Derrek Housewright
01:03:54 | 20260704 | jL47X7_adyQ | Peter Perez | Sunday School | 10
00:54:32 | 20260704 | 1bNhyqypfws | The Gift Of Wisdom | The Gathering | Tyler Everett
00:52:39 | 20260625 | QRcvguPaAnA | The Gift Of Faith | The Gathering | Tyler Everett
01:03:19 | 20260625 | 9VEtCo22hk8 | Peter Perez | Sunday School | 9
00:42:55 | 20260625 | s-Vgo3zpMvI | Who Needs The Holy Spirit | The Gathering | Tyler Everett
01:03:19 | 20260625 | Ft8ibBSHdWc | Peter Perez | Sunday School | 8
00:59:55 | 20260625 | YGHvqCzy6QQ | Peter Perez | Sunday School | 7
00:36:14 | 20260625 | UQBixqFQs9M | Speaking In Tongues | The Gathering | Tyler Everett
00:54:48 | 20260625 | 4ZTWIl6Laas | Peter Perez | Sunday School | 6
00:32:42 | 20260625 | 7ykfB6vAZuU | Favor Forever | The Gathering | Mark Brand
00:46:54 | 20260625 | hb4IbkT4Jig | Holy Spirit | The Gathering | Tyler Everett
01:00:50 | 20260525 | p2V9CQbA34Y | Peter Perez | Sunday School | 5
00:57:01 | 20260525 | 3LSDEy2p_Ds | Peter Perez | Sunday School | 4
01:02:37 | 20260525 | 8jXKuWR-sGw | Peter Perez | Sunday School | 3
01:02:37 | 20260525 | -Egkg0MXmLk | Peter Perez | Sunday School | 2
00:58:48 | 20260525 | WwIFLIiXlFI | Peter Perez | Sunday School | 1
00:56:23 | 20260525 | 0Y2uMbwbnak | When God Speaks Will You Surrender | The Gathering | Tyler Everett
00:49:08 | 20260525 | UXvXsU3EGaQ | When God Speaks Will You Be Offended | The Gathering | Tyler Everett
00:46:35 | 20260525 | 591x9-Gj74E | When God Speaks Will You Hesitate | The Gathering | Tyler Everett
00:46:34 | 20260525 | agIqziS51q4 | When God Speaks Will You Trust | The Gathering | Tyler Everett
00:42:02 | 20260425 | dmvAGINPxdk | Will You Listen When God Speaks? | The Gathering | Tyler Everett
01:06:15 | 20260425 | y5iuTI0GYPA | Promise Keeping God | The Gathering | Dr Michael Brown
00:44:35 | 20260425 | 8rx9EgJmhwA | Planted Not Buried | The Gathering | Tyler Everett
00:49:19 | 20260425 | isteBZUo3q4 | The Cups of Promise | The Gathering | Tyler Everett
00:49:10 | 20260325 | Dwi_JUHYahg | No More Mixture | The Gathering | Tyler Everett
00:41:43 | 20260325 | RtP1fKHb38o | Pass The Bitter Herbs | The Gathering | Tyler Everett
00:45:43 | 20260325 | G330qbBIaSg | Rooted, Removing The Leaven | The Gathering | Tyler Everett
00:49:12 | 20260325 | nNb_WpyZLn4 | Put Some Bark On It! Pt. 2 | The Gathering | Tyler Everett
00:51:46 | 20260225 | rqZbx3--rRM | Put Some Bark On It! | The Gathering | Tyler Everett
00:47:20 | 20260225 | wMUS_c_qD-I | Explosion of Joy | The Gathering | Ron McIntosh
00:49:34 | 20260225 | pcxI120ZcrU | The Parable Of The Sower | The Gathering | Peter Perez
00:25:34 | 20260225 | tWdClsmtggg | Jeremiah 17:7-8 | The Gathering | Tyler Everett
00:52:52 | 20260125 | OnpYZ6bfNOU | Planted In The Sabbath | The Gathering | Tyler Everett
00:42:14 | 20260125 | 5p6DmuO4f4I | Planted | The Gathering | Tyler Everett
00:39:16 | 20260125 | C6O2JK3Nuzw | Prayer That Actually Works | The Gathering | Tyler Everett
00:22:45 | 20260125 | uP8KuospuLk | Stewarding The Significant | The Gathering | Tyler & Lauryn Everett
